Home ID,Error,Original Address,Normalized Address,Normalized Street Number,Normalized Street Name,Normalized City,Flag Number Changed
1,,"6 WARREN PL, ROXBURY, MA 02119","6 Warren Place, Boston, MA 02119",6,Warren Place,Boston,
2,,"8 WARREN PL, ROXBURY, MA 02119","8 Warren Place, Boston, MA 02119",8,Warren Place,Boston,
3,,"14 WARREN PL, ROXBURY, MA 02119","14 Warren Place, Boston, MA 02119",14,Warren Place,Boston,
4,,"19 WARREN PL, ROXBURY, MA 02119","19 Warren Place, Boston, MA 02119",19,Warren Place,Boston,
5,,"96 96B WARREN ST, ROXBURY, MA 02119","96 96B Warren Street, Boston, MA 02119",96B,Warren Street,Boston,true
6,,"9 WINTHROP ST, ROXBURY, MA 02119","9 Winthrop Street, Boston, MA 02119",9,Winthrop Street,Boston,
7,,"13 WINTHROP ST, ROXBURY, MA 02119","13 Winthrop Street, Boston, MA 02119",13,Winthrop Street,Boston,
8,,"19 WINTHROP ST, ROXBURY, MA 02119","19 Winthrop Street, Boston, MA 02119",19,Winthrop Street,Boston,
9,,"8 MORELAND ST, ROXBURY, MA 02119","8 Moreland Street, Boston, MA 02119",8,Moreland Street,Boston,
10,,"12 MORELAND ST, ROXBURY, MA 02119","12 Moreland Street, Boston, MA 02119",12,Moreland Street,Boston,
11,,"56 MORELAND ST, ROXBURY, MA 02119","56 Moreland Street, Boston, MA 02119",56,Moreland Street,Boston,
12,,"46 MORELAND ST, ROXBURY, MA 02119","46 Moreland Street, Boston, MA 02119",46,Moreland Street,Boston,
13,,"2 CLEVELAND PK, ROXBURY, MA 02119","2 Cleveland Park, Boston, MA 02119",2,Cleveland Park,Boston,
14,,"43 WINTHROP ST, ROXBURY, MA 02119","43 Winthrop Street, Boston, MA 02119",43,Winthrop Street,Boston,
15,,"28 GREENVILLE ST, ROXBURY, MA 02119","28 Greenville Street, Boston, MA 02119",28,Greenville Street,Boston,
16,,"25 GREENVILLE ST, ROXBURY, MA 02119","25 Greenville Street, Boston, MA 02119",25,Greenville Street,Boston,
17,,"19 GREENVILLE ST, ROXBURY, MA 02119","19 Greenville Street, Boston, MA 02119",19,Greenville Street,Boston,
18,,"16 GREENVILLE ST, ROXBURY, MA 02119","16 Greenville Street, Boston, MA 02119",16,Greenville Street,Boston,
