display_order,text,response_type,response_options
1,"¿Es usted el dueño o propietario de esta vivienda?",0,"Sí, soy el dueño/propietario de la vivienda en la dirección que proporcioné continuar con la siguiente pregunta)/No, no soy el dueño/propietario de esta casa (solo podemos realizar la encuesta a propietarios)"
2,"¿Le interesaría saber más sobre cómo podría ahorrar dinero en sus facturas de servicios con una mejora subsidiada o gratuita de su sistema de calefacción y aire acondicionado gracias a programas estatales?",0,"Sí/No"
3,"Si responde "no, ¿podría compartir brevemente la razón por la que no está interesado/a en continuar?",1,
4,"¿Ha oído hablar de las "bombas de calor" para la calefacción y refrigeración del hogar?",0,"Sí/No"
5,"¿Alguna de las siguientes cosas es importante para usted? - si es así, ¿cuáles? Puede seleccionar varias (MS)",4,"Ahorrar dinero en las facturas de energía/Tener refrigeración y calefacción en una sola unidad/Hacer que tu refrigeración sea más silenciosa (¿que el aire acondicionado actual?)/Reducir el uso de combustibles fósiles/contribuir a la reducción del cambio climático"
6,"¿Considerarías las bombas de calor para la calefacción o la refrigeración de tu hogar? [Selecciona una option]",0,"Sí, para calefacción, no para refrigeración/Sí, para refrigeración, no para calefacción/Sí, para ambas /No - he oído hablar de ellas pero no las he considerado para ninguna de las dos/Sin respuesta. No lo sé – N/A"
7,"Si no consideró las bombas de calor para calefacción o refrigeración, ¿fue por alguna de las siguientes razones? [Marque todas las que correspondan] (MS)",4,"No sabía qué eran las bombas de calor/Solo necesito ayuda con una: refrigeración/Solo necesito ayuda con una: calefacción/No pensé que las bombas de calor pudieran ser eficientes/rentables para calefacción/refrigeración/No sabía cómo obtener información para comenzar el proceso de instalación/Pensé que las bombas de calor eran demasiado caras /La casa no es compatible con las bombas de calor/Otro"
8,"Sí consideró las bombas de calor para calefacción o refrigeración (o ambas), ¿ha tomado alguno de los siguientes pasos? ( Seleccione solo una) (SS)",0,"Investigación básica - Miré un sitio web/Decidí un plan/Contacté a instaladores y obtuve cotizaciones/Instalé una bomba de calor/Otro"
9,"Si desea obtener bombas de calor, pero aún no las ha instalado, ¿Cuál de las siguientes razones  lo detuvo?",4,"No entendí las opciones, los detalles o los siguientes pasos/Demasiado caro/Complejidad /demasiado tiempo - molestia para hacer papeleo/Preocupaciones sobre la instalación - Mala experiencia con el instalador/La casa no es compatible con las bombas de calor/Otro"
10,"¿Ha oído hablar de Mass Save, el programa de eficiencia energética?",0,"Sí/No"
11,"Si ha oído hablar de Mass Save, ¿se ha puesto en contacto con ellos de alguna de las siguientes maneras? (Seleccione solo una) (SS)",0,"Habló por teléfono/Programó una visita de Mass Save/Tuvo una visita de Mass Save/Instaló algo en su hogar con la ayuda de Mass Save/Otro"
12,"¿Ha oído hablar de alguno de los siguientes socios locales de Mass Save? ( Puede seleccionar varios) (MS)",4,"ABCD/RISE/Homeworks Energy/CET/ClearResult/Ninguno de las anteriores"
13,"Si ha oído hablar de alguno de los socios locales de Mass Save, ¿qué tipo de interacción ha tenido con ellos? (MS)",4,"Habló por teléfono/Programó una visita de Mass Save/Tuvo una visita de Mass Save/Instaló algo en su hogar con la ayuda de Mass Save/Otro/Ninguno de los anteriores"
14,"Para que podamos informar sobre sus posibles ahorros: ¿Cuál de las siguientes opciones describe el TIPO de sistema de calefacción que tiene? (Seleccione solo una) (SS)",0,"Caldera con aire forzado (conductos de ventilación)/Caldera con radiadores (agua)/Caldera con radiadores (vapor)/Caldera con zócalo radiante (agua)/Zócalo radiante (eléctrico)/Otro"
15,"¿Cuál de los siguientes COMBUSTIBLES utiliza su sistema de calefacción?  (Seleccione solo una) (SS)",0,"Petróleo - Fuel oil/Gas/Eléctrico (para zócalo radiante)/Otro"
16,"Tenemos "asesores de bombas de calor" voluntarios y gratuitos que están disponibles para responder preguntas y guiarlo a través del proceso (no son vendedores, no están afiliados a ningún instalador o marca, solo están interesados en ayudar a otros propietarios de viviendas).
¿Le gustaría saber más sobre cómo obtener asistencia gratuita y personalizada de un "asesor de bombas de calor"?",0,"Sí/No"
17,"Para poder hacer un seguimiento con usted, ¿cuál es el nombre del propietario?",1,""
18,"¿Cómo le gustaría que le hiciéramos un seguimiento?¿Por correo electrónico?",2,""
19,"¿O por número de teléfono/ llamada?",3,""
20,"Preguntas finales opcionales: ¿Cuál es el idioma principal que se habla en su hogar?",1,
21,"¿Cómo describiría su origen étnico o ascendencia?",1,""
22,"¿Actualmente el propietario trabaja en- (Seleccione solo una) (SS)",0,"Un empleo/Dos o más empleos/Desempleado"
23,"¿El ingreso total del hogar es mayor o menor de $47,000? / ¿O prefiere no responder?  (Seleccione solo una) (SS)",0,"Mayor a $47,000/Menor de  $47,000/Prefiero no responder"
24,"¿Cuál es su tiempo total de viaje diario (ida y vuelta) al trabajo?",1,""
