display_order,text,response_type,response_options
1,"Você é o(a) proprietário(a) da casa?",0,"Sim, sou o(a) proprietário(a) da residência no endereço fornecido (prosseguir para a próxima pergunta)/Não, não sou o(a) proprietário(a) desta casa (não posso prosseguir com a pesquisa que é apenas para proprietários)/Informações para inquilinos estão disponíveis no site em “Saiba Mais” → Para Inquilinos"
2,"Se você pudesse economizar nas contas de energia com um sistema de aquecimento e resfriamento subsidiado ou gratuito pelo estado, gostaria de saber mais?",0,"Sim/Não"
3,"Se respondeu “não”, pode compartilhar por que não tem interesse em seguir com isso?",1,""
4,"Você já ouviu falar em “bombas de calor” para aquecimento e resfriamento residencial?",0,"Sim/Não"
5,"Algumas dessas coisas são importantes para você? Se sim, quais?",4,"Economizar nas contas de energia/Ter aquecimento e resfriamento no mesmo sistema/Reduzir o barulho do sistema de resfriamento (comparado com o atual?)/Reduzir o uso de combustíveis fósseis, combater mudanças climáticas"
6,"Você consideraria bombas de calor para aquecimento ou resfriamento da sua casa?",0,"Sim, para aquecimento, mas não para resfriamento/Sim, para resfriamento, mas não para aquecimento/Sim, para ambos/Não — já ouvi falar, mas nunca considerei para nenhum dos dois/Não sei, Prefiro não responder"
7,"Se você não considerou bombas de calor para aquecimento ou resfriamento, foi por algum desses motivos?",4,"Não sabia o que eram bombas de calor/Preciso de ajuda apenas com resfriamento/Preciso de ajuda apenas com aquecimento/Achei que bombas de calor não eram eficientes, custo-benefício/Não sabia como obter mais informações ou iniciar o processo/Achei que era muito caro/Minha casa não é compatível/Outro"
8,"Se você considerou usar bombas de calor para aquecimento ou resfriamento, tomou algum destes passos?",0,"Pesquisa básica, Acessou algum site/Decidiu um plano/Contatou instaladores, Recebeu orçamentos/Preocupações com instalação / experiência ruim com instalador/Minha casa não é compatível"
9,"Se você quer instalar, mas ainda não fez isso, foi por algum desses motivos?",4,"Não entendi as opções, detalhes, próximos passos/Muito caro/Processo complexo, muito tempo, burocracia/Preocupações com instalação, experiência ruim com instalador/Minha casa não é compatível/Outro"
10,"Você já ouviu falar do programa de eficiência energética Mass Save?",0,"Sim/Não"
11,"Se já ouviu falar do Mass Save, você se conectou com eles de alguma dessas formas? ",0,"Conversou por telefone/Agendou uma visita do Mass Save/Recebeu a visita do Mass Save/Instalou algo na sua casa com ajuda do Mass Save/Outro"
12,"Você já ouviu falar de algum dos parceiros locais do Mass Save?",4,"ABCD/RISE/Homeworks Energy/CET/ClearResult/Nenhum dos acima"
13,"Se sim, qual foi o tipo de contato?",4,"Conversou por telefone/Agendou uma visita/Recebeu a visita/Instalou algo com ajuda deles/Outro/Nenhum dos acima"
14,"Para que possamos calcular sua economia potencial: Qual o TIPO de sistema de aquecimento que você tem?",0,"Fornalha com ar quente forçado – com dutos/Caldeira com radiadores – água/Caldeira com radiadores – vapor/Caldeira com aquecimento de rodapé – água/Rodapé elétrico/Outro"
15,"Qual o COMBUSTÍVEL usado pelo seu sistema de aquecimento? ",0,"Óleo/Gás/Elétrico (rodapé)/Outro"
16,"Temos voluntários chamados “treinadores de bombas de calor”, que podem tirar dúvidas e orientar no processo. Eles não são vendedores nem ligados a marcas — só querem ajudar outros proprietários. Gostaria de saber mais sobre como obter essa ajuda gratuita e personalizada?",0,"Sim/Não"
17,"Para que possamos fazer um acompanhamento: Qual o nome do(a) proprietário(a)?",1,""
18,"Como prefere o contato de acompanhamento? Por e-mail?",2,""
19,"Ou por número de telefone?",3,""
20,"Perguntas bônus (opcional):  Qual é o idioma principal falado na sua casa?",1,""
21,"Como você descreveria sua etnia ou ancestralidade?",1,""
22,"Situação de trabalho do(a) proprietário(a):",0,"1 emprego/2 ou mais empregos/Não está trabalhando no momento"
23,"A renda total da residência é:",0,"Acima de $47.000/Abaixo de $47.000/Prefere não responder"
24,"Qual o tempo total de deslocamento até o trabalho (ida e volta)? _____ MINUTOS",1,""
