cluster,lat,lon
2,42.32625609,-71.07912228
3,42.33090622,-71.08566668
4,42.32726624,-71.10307884
6,42.32724399,-71.09061039
8,42.32118596,-71.0844145
9,42.32169388,-71.07944581
10,42.3172238,-71.08016852
11,42.3194878,-71.09067048
13,42.31221553,-71.08596887
14,42.30128747,-71.08143702
20,42.32211056,-71.07487253
22,42.32065148,-71.05514242
23,42.32240067,-71.05918419
24,42.30957476,-71.04830926
25,42.31773961,-71.05396453
26,42.31397073,-71.05355634
27,42.31336397,-71.05551757
28,42.31551228,-71.05804313
31,42.31448808,-71.06931203
35,42.3025683,-71.06585999
36,42.30543035,-71.06534007
38,42.30909669,-71.06850894
39,42.30732502,-71.06982827
40,42.30567683,-71.07107942
42,42.29915657,-71.0777503
47,42.29435146,-71.05277826
48,42.3020068,-71.05757273
49,42.29984382,-71.05177332
50,42.29677369,-71.05781061
51,42.297154,-71.06471785
53,42.29502916,-71.06867644
54,42.29513355,-71.07441063
56,42.29460013,-71.07662542
57,42.29427284,-71.08061441
58,42.29760236,-71.08459406
59,42.2883605,-71.09237721
60,42.28796536,-71.08337476
61,42.28742865,-71.08849198
62,42.28593541,-71.08442298
63,42.28452772,-71.0870007
65,42.28077372,-71.07729012
66,42.28042901,-71.08018146
67,42.2823864,-71.08241955
68,42.28394836,-71.06822438
69,42.2808632,-71.0694266
70,42.27893328,-71.07554379
76,42.29077716,-71.05157242
77,42.2897643,-71.05428296
78,42.29081611,-71.0582697
80,42.28956551,-71.04859111
81,42.28900119,-71.04065256
83,42.28024019,-71.05164466
84,42.28223826,-71.05090307
86,42.28170013,-71.05391162
95,42.27526803,-71.07337927
96,42.27267817,-71.07723079
99,42.26915448,-71.0975582
100,42.27014033,-71.10384059
101,42.27479546,-71.09908843
102,42.27493323,-71.07878064
103,42.27155248,-71.08892654
104,42.27642545,-71.0879934
105,42.28300534,-71.09478099
106,42.28324112,-71.09705244
107,42.2796326,-71.09058674
109,42.31494001,-71.09912739
111,42.27058799,-71.08201291
112,42.2725775,-71.07403367
113,42.27694949,-71.08549717
114,42.2733561,-71.09045321
115,42.27191448,-71.08518254
117,42.2732719,-71.08609361
118,42.26624414,-71.09736444
119,42.26683972,-71.09906247
122,42.27952737,-71.09916546
123,42.27329758,-71.10370608
124,42.27702167,-71.10417749
125,42.27683305,-71.10002378
126,42.2720147,-71.09700159
127,42.27189696,-71.10087441
128,42.26900199,-71.10191832
129,42.27543456,-71.07678514
130,42.27728273,-71.07539654
131,42.2810956,-71.05667765
137,42.27324975,-71.06368927
138,42.27746359,-71.06830539
139,42.27864892,-71.07129283
140,42.27481492,-71.07039788
142,42.2794253,-71.06054521
144,42.33080503,-71.10266723
145,42.31136186,-71.04989451
146,42.29167837,-71.05483628
147,42.2879369,-71.05252155
151,42.28359972,-71.05800383
152,42.28367649,-71.06159605
153,42.28624536,-71.0823606
155,42.28633941,-71.05610396
156,42.28603636,-71.05938764
157,42.28770332,-71.06041237
158,42.28203564,-71.06687731
159,42.28066536,-71.06412906
161,42.31764452,-71.06134413
162,42.31138565,-71.06114436
163,42.31413223,-71.06470306
164,42.31074347,-71.06542488
165,42.31974952,-71.06558348
167,42.31545514,-71.09310314
168,42.32803307,-71.09411685
171,42.30131672,-71.06348249
172,42.30293984,-71.06974475
173,42.30110425,-71.06990603
174,42.3129811,-71.08128125
176,42.27909553,-71.09708748
177,42.2769883,-71.09533843
178,42.29822697,-71.06808187
179,42.29804284,-71.07267812
180,42.30583145,-71.05959739
181,42.31159188,-71.07602815
182,42.30737168,-71.07885924
183,42.30261568,-71.07473359
184,42.28515403,-71.07825401
185,42.2882704,-71.07329247
186,42.28853382,-71.07636904
187,42.28115915,-71.07382116
188,42.28348691,-71.07407476
189,42.32635636,-71.07477098
190,42.3230258,-71.07064082
191,42.31422714,-71.0720529
192,42.31512262,-71.07540732
193,42.31948073,-71.07299648
196,42.3186393,-71.0759973
198,42.31752073,-71.09906931
199,42.32350875,-71.09368895
200,42.28654151,-71.05013416
201,42.28530711,-71.04732788
202,42.28523065,-71.05285413
204,42.27826037,-71.08254931
205,42.29251742,-71.06811416
206,42.29241808,-71.07572857
207,42.29391827,-71.06007539
208,42.29414475,-71.06393998
209,42.29058934,-71.06236486
210,42.28880416,-71.06172179
211,42.28637781,-71.06824369
212,42.28989372,-71.06819576
